58.63899,-3.16176
58.63899,-3.16176
58.63922,-3.16131
58.64066,-3.15788
58.64114,-3.15729
58.64167,-3.15686
58.64954,-3.15169
58.65324,-3.152
58.66504,-3.15399
58.68124,-3.14374
58.70944,-3.12474
58.73003,-3.11886
58.80057,-3.05258
58.80215,-3.05082
58.8056,-3.04819
58.80874,-3.04566
58.81197,-3.04382
58.81505,-3.04238
58.81839,-3.0415
58.82241,-3.04098
58.82573,-3.03986
58.82861,-3.03556
58.83101,-3.03048
58.83337,-3.02528
58.83533,-3.021
58.83768,-3.01492
58.83854,-3.00862
58.83908,-3.0019
58.8396,-2.99532
58.83996,-2.98842
58.83986,-2.98192
58.83988,-2.9758
58.83997,-2.9671
58.83933,-2.95775
58.83636,-2.95522
58.8334,-2.95519
58.83292,-2.95551
58.83247,-2.95639
58.83214,-2.95767
58.83205,-2.959
58.83208,-2.96028
58.83199,-2.96225
58.83197,-2.96245
