Standing Stones of Stennes,interest,,58.99406988735107,-3.2081145563679447,,9,Orkney (05/05 - 07/05)
Maeshowe chambered burial cairn,interest,,58.99663197430942,-3.1881487894944707,,10,Orkney (05/05 - 07/05)
EMEC offices,study,,58.96365838524055,-3.301115591683185,,10,Orkney (05/05 - 07/05)
Billia Croo,study,,58.97217773746212,-3.3504593735005397,,10,Orkney (05/05 - 07/05)
NorthLink Ferry,ferry,ferry to Scrabster 16:45 7th May,58.96409192469634,-3.295546566902803,,8,Orkney (05/05 - 07/05)
NorthLink Ferry,ferry,ferry from Stromness,58.61233409617606,-3.5397813856765437,,8,Highlands (07/05 - 11/05)
Premier Inn Thurso,accom,,58.5899652136914,-3.5287324169221925,,10,Highlands (07/05 - 11/05)
Balnakeil Craft Village,interest,,58.56965720137327,-4.7639917704669985,,10,Highlands (07/05 - 11/05)
Balnakeil Bay,interest,,58.58066028656239,-4.766845132389967,,7,Highlands (07/05 - 11/05)
Kinlochbervie Community Energy Hydro Scheme,study,Riconich installation,58.430220590414905,-4.971778749721536,,8,Highlands (07/05 - 11/05)
Caledonian Hotel,accom,,57.89620015867732,-5.1606567408944155,,7,Highlands (07/05 - 11/05)
Urquhart Castle,interest,,57.32410198151737,-4.44166511559346,,8,Highlands (07/05 - 11/05)
Dundreggan Rewilding Centre,study,Trees for LifeDundreggan Rewilding CentreDundreggan Rewilding Centre,57.19215757365424,-4.764312977991813,,7,Highlands (07/05 - 11/05)
Steall Waterfall car park,interest,,56.77750990102466,-5.000528562659217,,10,Highlands (07/05 - 11/05)
Steall Waterfall,interest,,56.77000699731249,-4.979389130780631,,7,Highlands (07/05 - 11/05)
Clachaig Inn,shop/food,lunch & whisky,56.664501126540046,-5.056680233194723,,10,Highlands (07/05 - 11/05)
Glencoe Youth Hostel,accom,,56.67221377001044,-5.073879492747866,,9,Highlands (07/05 - 11/05)
Kingshouse Hotel,shop/food,,56.65148283067141,-4.841349777547632,,8,Highlands (07/05 - 11/05)
Green Wellie Cafe,shop/food,,56.43816773979799,-4.712569509244525,,8,Argyll & Bute (11/05 - 12/05)
Real Food Cafe,shop/food,,56.43586082446424,-4.710943814411429,,10,Argyll & Bute (11/05 - 12/05)
Cruachan pump visitor centre,study,,56.39454706269534,-5.1163133228817,,8,Argyll & Bute (11/05 - 12/05)
Oban Youth Hostel,accom,,56.42001868724718,-5.480175233407479,,7,Argyll & Bute (11/05 - 12/05)
Kilmartin Museum,interest,,56.133395480830416,-5.486733662330607,,8,Argyll & Bute (11/05 - 12/05)
Gulf of Corryvreckan,interest,whirlpool,56.15294335010775,-5.7016953996159785,,9,Argyll & Bute (11/05 - 12/05)
Allt Dearg and Sròndoire Community Wind Farms,study,,55.93273347497019,-5.4856515511886,,7,Argyll & Bute (11/05 - 12/05)
Inverary Jail,culture,& escape room,56.2298829181438,-5.072437945715169,,9,Argyll & Bute (11/05 - 12/05)
Loch Lomond,interest,,56.16943369565895,-4.661469727176291,,7,Argyll & Bute (11/05 - 12/05)
Glasgow Youth Hostel,accom,,55.869036149024346,-4.281027120383848,,7,Glasgow (12/05 - 13/05)
Kelvingrove Art Museum,interest,,55.86858907313106,-4.29058244555288,,10,Glasgow (12/05 - 13/05)
Glasgow School of Art,interest,tour and gallery visit,55.866458638416766,-4.263939780544785,,10,Glasgow (12/05 - 13/05)
Charles Rennie Mackintosh Society,interest,various buildings spread throughout Glasgow,55.88031052595348,-4.271832850934763,,10,Glasgow (12/05 - 13/05)
Ben Nevis Bar,culture,live scottish music,55.86489436117646,-4.285095109187753,,10,Glasgow (12/05 - 13/05)
Clutha Vaults,culture,live scottish music - not sure which Clutha pub,55.85444712705302,-4.250151859793661,,10,Glasgow (12/05 - 13/05)
Clutha & Victoria Bar,culture,live scottish music - not sure which Clutha pub,55.85457790903265,-4.249977109845904,,10,Glasgow (12/05 - 13/05)
Scotia Pub,culture,live scottish music,55.85499695111638,-4.250461226319425,,10,Glasgow (12/05 - 13/05)
Kelpies,interest,,56.01915818695298,-3.755458633965555,,9,Falkirk (14/05)
Helix Park,interest,,56.00991801680556,-3.7573319000507825,,10,Falkirk (14/05)
Falkirk Wheel,interest,,56.00035058578694,-3.841668288273662,,8,Falkirk (14/05)
Falkirk Wheel cafe,shop/food,,56.000728915163705,-3.8409987531474243,,10,Falkirk (14/05)
