58.61204,-3.54012
58.61254,-3.54003
58.61359,-3.53988
58.61376,-3.54001
58.61394,-3.54015
58.61396,-3.54017
58.61401,-3.54027
58.61401,-3.54028
58.61402,-3.5403
58.61406,-3.54043
58.61404,-3.5406
58.61379,-3.54133
58.61372,-3.54156
58.61369,-3.54166
58.61364,-3.5419
58.61343,-3.54304
58.61328,-3.54366
58.61287,-3.54536
58.61283,-3.54553
58.61282,-3.54556
58.61277,-3.54566
58.61276,-3.54563
58.6127,-3.54557
58.61258,-3.54558
58.61248,-3.54566
58.61246,-3.54571
58.61241,-3.54583
58.6123,-3.54638
58.61226,-3.5466
58.61226,-3.54681
58.61231,-3.54712
58.61236,-3.54726
58.61227,-3.54779
58.61211,-3.54866
58.61194,-3.54948
58.61153,-3.55142
58.61147,-3.5517
58.61142,-3.55186
58.61134,-3.55208
58.6112,-3.55237
58.61103,-3.55258
58.61083,-3.55271
58.61061,-3.55275
58.61033,-3.55274
58.61024,-3.55273
58.61002,-3.55269
58.60961,-3.55259
58.60927,-3.55251
58.60916,-3.55248
58.60876,-3.55233
58.60777,-3.55189
58.6073,-3.55159
58.60664,-3.55122
58.60649,-3.55115
58.60626,-3.55109
58.60598,-3.55108
58.60588,-3.55109
58.60562,-3.55106
58.60539,-3.55101
58.60513,-3.55092
58.60467,-3.55063
58.60416,-3.55021
58.6037,-3.54971
58.60339,-3.54925
58.60312,-3.54872
58.60286,-3.54817
58.60264,-3.54756
58.60246,-3.54691
58.60237,-3.54659
58.6023,-3.5463
58.60228,-3.54622
58.60223,-3.54602
58.60211,-3.54553
58.60148,-3.54297
58.60144,-3.54279
58.60133,-3.54234
58.60126,-3.54204
58.60113,-3.54159
58.60097,-3.5412
58.60082,-3.54082
58.6006,-3.54049
58.60029,-3.54
58.5999,-3.53939
58.5994,-3.5386
58.5993,-3.53846
58.59918,-3.53828
58.59869,-3.53752
58.59859,-3.53735
58.59851,-3.53729
58.59849,-3.53728
58.59841,-3.53723
58.59842,-3.53745
58.59842,-3.53767
58.5984,-3.53806
58.59834,-3.53886
58.59831,-3.53918
58.59824,-3.54007
58.59807,-3.54196
58.59764,-3.54678
58.59761,-3.54728
58.59764,-3.54751
58.59795,-3.54976
58.598,-3.55019
58.59815,-3.55134
58.5982,-3.55191
58.5982,-3.55261
58.59812,-3.55353
58.59796,-3.55491
58.59791,-3.55544
58.59789,-3.55599
58.59791,-3.55655
58.59797,-3.55715
58.59846,-3.56225
58.5985,-3.56271
58.59891,-3.56739
58.59907,-3.56888
58.59917,-3.56929
58.59931,-3.5698
58.5995,-3.57024
58.59987,-3.57086
58.60103,-3.57193
58.60193,-3.57276
58.60312,-3.57393
58.60352,-3.57445
